Cod_setor;V011
240430905000015;554,12
240430905000016;826,1
240430905000017;414,03
240430905000018;643,81
240430905000019;825,12
240430905000020;753,97
240430905000021;702,2
240430905000022;479,8
240430905000023;456,59
240430905000024;419,2
240430905000025;505,32
240430905000026;419,58
240430905000027;421,8
240430905000028;327,48
240430905000029;470,77
240440805000001;858,56
240440805000002;793,78
240440805000003;532,96
240440805000004;613,89
240440805000005;689,14
240440805000006;602,87
240440805000007;536,31
240440805000008;584,62
240440805000009;513,64
240440805000010;629,21
240440805000011;668,93
240440805000012;491,14
240440805000013;582,89
240450705000001;1161,78
240450705000002;982,27
240450705000003;968,43
240450705000004;584,13
240450705000005;548,97
240450705000006;849,57
240450705000007;663,45
240450705000008;635,33
240450705000009;616,25
240450705000010;476,5
240450705000011;482,57
240450705000012;719,6
240450705000013;616,58
240450705000014;715,46
240450705000015;1106,98
240450705000016;893,49
240450705000017;619,57
240450705000018;649,75
240450705000019;576,84
240450705000020;671,89
240450705000021;647,57
240450705000022;609,27
240450705000023;665,58
240460605000001;468,41
240460605000002;340,84
240460605000003;399,59
240460605000004;337,77
240460605000005;402,41
240460605000006;450,67
240460605000007;424,55
240460605000008;457,92
240460605000009;428,01
240460605000010;358,88
240460605000011;364,25
240460605000012;626,99
240460605000013;415,74
240460605000014;673,95
240460605000015;591,32
240460605000016;323,87
240460605000017;331,63
240460605000018;457,22
240460605000019;416,75
240460605000020;548,75
240460605000021;351,22
240460605000022;414,72
240470505000001;543,91
240470505000002;629,29
240470505000003;690,97
240470505000004;736,82
240470505000005;487,17
240470505000006;407,95
240470505000007;356,86
240470505000008;414,04
240470505000009;533,85
240470505000010;389,44
240470505000011;786,22
240470505000012;465,24
240470505000013;627,3
240470505000014;339,29
240470505000015;427,05
240470505000016;334,02
240470505000017;470,68
240470505000018;381,21
240470505000019;366,74
240470505000020;391
240470505000021;629,99
240480405000001;632,22
240480405000002;600,55
240480405000003;527,35
240485305000001;586,28
240485305000002;752,55
240485305000003;745,6
240485305000004;539,22
240485305000005;421,77
240485305000006;372,63
240485305000007;477,92
240485305000008;408,37
240485305000009;496,69
240485305000010;593
240485305000011;497,72
240485305000012;438,35
240485305000013;506,84
240490305000001;621,44
240490305000002;485,3
240490305000003;557,37
240490305000004;340,81
240490305000005;408,4
240490305000006;404,81
240490305000007;457,99
240490305000008;659,29
240490305000009;439,41
240490305000010;780,44
240500905000001;588,32
240500905000002;480,99
240500905000003;476,63
240500905000004;553,68
240500905000005;572,31
240500905000006;365,31
240500905000007;302,14
240500905000008;340,92
240500905000009;640,21
240500905000010;452,04
240500905000011;372,18
240500905000012;302,09
240510805000001;545,23
240510805000002;439,22
240510805000003;608,76
240510805000004;380,93
240510805000005;393,26
240510805000006;373,88
240510805000007;592,92
240510805000008;482,23
240510805000009;554,96
240510805000010;436,4
240520705000001;750,85
240520705000002;422,3
240520705000003;631,71
240520705000004;461,09
240520705000005;376,48
240520705000006;496,49
240520705000007;585,21
240520705000008;446,27
240520705000009;450,19
240520705000010;669,63
240530605000001;762,03
240530605000002;653,89
240530605000003;294,48
240530605000004;351,36
240530605000005;345,72
240530605000006;423,05
240530605000007;395,94
