ID;LNG_LOJA;LAT_LOJA;LNG_FRIGO;LAT_FRIGO
boi657;-35,2295;-5,8853;-46,82124801;-22,4360055
boi658;-35,2295;-5,8853;-54,56456909;-19,39552137
boi659;-35,2295;-5,8855;-46,78881014;-23,533612
boi660;-35,2295;-5,8855;-50,92968093;-17,7945434
boi661;-35,2295;-5,8855;-54,61574357;-20,45802999
boi662;-35,2295;-5,8855;-59,2962784;-15,0823624
boi663;-35,2295;-5,8855;-54,61574357;-20,45802999
boi664;-35,2295;-5,8855;-42,8337279;-5,10068111
boi665;-35,2295;-5,8855;-50,0245774;-8,0544324
boi666;-35,2294;-5,8856;-54,61574357;-20,45802999
boi667;-35,2294;-5,8856;-53,35157381;-22,24875931
boi668;-35,2294;-5,8857;-50,01696035;-5,629799735
boi669;-35,2658;-5,9289;-54,09178213;-25,2924975
boi670;-35,2658;-5,9289;-61,1742191;-11,6959639
boi671;-35,2658;-5,9289;-48,748223;-6,189251148
boi672;-35,2658;-5,9289;-53,32491648;-24,61566698
boi673;-35,2658;-5,9289;-38,66401754;-3,736487
boi674;-35,2658;-5,9289;-34,88894194;-8,062762483
boi675;-35,2658;-5,9289;-61,1742191;-11,6959639
boi676;-35,2658;-5,9289;-48,42480679;-7,633314911
boi677;-35,2658;-5,9289;-34,88894194;-8,062762483
boi678;-35,2658;-5,9289;-48,42480679;-7,633314911
boi679;-35,2658;-5,9289;-48,748223;-6,189251148
boi680;-35,2658;-5,9289;-50,0245774;-8,0544324
boi681;-35,2658;-5,9289;-50,61128172;-9,364055729
boi682;-35,2658;-5,9289;-50,5503562;-20,26785305
boi683;-37,0913;-6,4449;-50,61128172;-9,364055729
boi684;-37,0913;-6,4449;-48,20870525;-7,19132894
boi685;-37,0913;-6,4449;-51,69805748;-10,40327408
boi686;-37,0913;-6,4449;-58,4173358;-15,2236652
boi687;-37,0913;-6,4449;-54,61574357;-20,45802999
boi688;-37,0913;-6,4449;-56,14466374;-15,65806482
boi689;-37,0913;-6,4449;-46,82124801;-22,4360055
boi690;-37,0913;-6,4449;-38,66401754;-3,736487
boi691;-37,0913;-6,4449;-41,908636;-21,57727671
boi692;-37,0913;-6,4449;-56,14466374;-15,65806482
boi693;-37,0913;-6,4449;-54,56456909;-19,39552137
boi694;-37,0913;-6,4449;-54,81128912;-22,22723554
boi695;-37,0913;-6,4449;-50,92968093;-17,7945434
boi696;-37,0913;-6,4449;-46,78881014;-23,533612
boi697;-37,0913;-6,4449;-47,07154764;-23,43004085
boi698;-37,0913;-6,4449;-47,26580273;-22,822145
boi699;-37,0913;-6,4449;-48,20870525;-7,19132894
boi700;-37,0913;-6,4449;-58,4173358;-15,2236652
boi701;-37,0913;-6,4449;-50,20197358;-19,73194752
boi702;-37,0913;-6,4449;-51,40520808;-26,90316461
boi703;-37,0913;-6,4449;-52,33555;-14,0477016
boi704;-37,1087;-6,4652;-38,66401754;-3,736487
boi705;-37,1087;-6,4652;-54,81128912;-22,22723554
boi706;-37,1087;-6,4652;-46,78881014;-23,533612
boi707;-37,1087;-6,4652;-51,40520808;-26,90316461
boi708;-37,1087;-6,4652;-46,82124801;-22,4360055
boi709;-35,329922;-5,864641;-49,89514344;-7,340632794
boi710;-35,329922;-5,864641;-50,61128172;-9,364055729
boi711;-35,356672;-5,858918;-42,8337279;-5,10068111
boi713;-35,331084;-5,791601;-35,48996498;-6,852715
boi715;-35,21331;-5,85759;-56,14466374;-15,65806482
boi716;-35,21331;-5,85759;-34,91058339;-7,82837199
boi717;-35,21331;-5,85759;-54,56456909;-19,39552137
boi718;-35,21331;-5,85759;-51,40520808;-26,90316461
boi719;-35,21331;-5,85759;-50,92968093;-17,7945434
boi720;-35,21331;-5,85759;-46,82124801;-22,4360055
boi721;-35,21331;-5,85759;-42,81982411;-22,91695534
boi722;-35,289719;-5,687432;-51,40520808;-26,90316461
boi723;-35,224742;-5,866647;-46,78881014;-23,533612
boi724;-35,289736;-5,687438;-47,37677424;-23,04253672
boi725;-35,289736;-5,687436;-51,94384677;-29,60742262
boi727;-35,289725;-5,687428;-55,41987012;-7,034835913
boi728;-35,289726;-5,687428;-35,29386424;-8,118748
boi729;-35,28973;-5,687431;-52,19677693;-28,44845393
boi730;-35,289724;-5,687428;-48,28029255;-17,30058111
boi731;-35,289726;-5,687428;-52,61703111;-27,10683702
boi732;-35,28973;-5,687431;-51,94384677;-29,60742262
boi733;-35,289722;-5,687425;-52,61703111;-27,10683702
boi734;-35,289726;-5,687429;-48,27795018;-18,91899861
boi735;-35,289733;-5,687432;-48,27795018;-18,91899861
boi736;-35,289726;-5,687428;-51,15170528;-27,00612907
boi737;-35,289727;-5,687429;-48,27795018;-18,91899861
